order_id,customer_segment,latitude,longitude,package_weight,package_volume,service_time,order_value,customer_loyalty,time_sensitivity,priority,time_window_start,time_window_end,delivery_date
ORD_0019,medium_value,-23.592869071691066,-46.68221561751842,8.55,6.735,21.4,168.28,0.467,0.532,medium,15,18,2025-10-03
ORD_0020,low_value,-23.677678260216172,-46.63242274884102,2.4,1.771,8.2,59.38,0.246,0.534,low,12,16,2025-09-01
ORD_0021,low_value,-23.610243829747255,-46.57664880705588,1.66,0.892,7.0,28.32,0.356,0.5,low,12,14,2025-10-10
ORD_0022,medium_value,-23.57880431742754,-46.63804153810307,3.03,2.006,10.7,104.74,0.509,0.604,medium,8,11,2025-10-18
ORD_0023,low_value,-23.655543762875595,-46.54868815307041,0.65,0.477,9.6,12.83,0.301,0.142,low,11,15,2025-08-28
ORD_0024,medium_value,-23.511412396685294,-46.61372379961158,3.87,2.346,10.5,63.27,0.782,0.712,medium,9,11,2025-09-06
ORD_0025,low_value,-23.318173301554527,-46.67040567148004,2.09,1.02,5.7,68.11,0.28,0.563,low,11,15,2025-09-25
ORD_0026,low_value,-23.631196105401703,-46.58208715133057,3.98,2.95,11.6,76.89,0.434,0.389,low,13,17,2025-09-16
ORD_0027,low_value,-23.58384862809697,-46.544774367913405,0.78,0.584,5.3,13.18,0.523,0.218,low,14,18,2025-09-27
ORD_0028,medium_value,-23.498437723483143,-46.65883949767061,3.86,2.228,12.9,78.92,0.556,0.432,medium,8,11,2025-09-29
ORD_0029,medium_value,-23.59992015491627,-46.78149885411258,4.58,2.699,14.4,84.91,0.597,0.436,medium,9,11,2025-10-08
ORD_0030,high_value,-23.62209499673935,-46.539092405890045,14.41,10.298,36.0,290.86,0.922,0.993,high,15,18,2025-09-14
ORD_0031,low_value,-23.72731310327067,-46.334018942993936,2.14,1.486,8.8,50.48,0.445,0.288,low,13,16,2025-10-16
ORD_0032,low_value,-23.61149102986274,-46.619593276677435,2.84,1.342,5.6,64.42,0.292,0.269,low,15,18,2025-09-09
ORD_0033,medium_value,-23.549765042453526,-46.541218413412,4.4,2.447,12.0,119.72,0.799,0.726,medium,11,13,2025-09-27
ORD_0034,low_value,-23.629797634671068,-46.4420445310568,1.62,0.736,7.6,34.25,0.11,0.385,low,14,18,2025-09-17
ORD_0035,medium_value,-23.48613312469775,-46.425565656043005,4.16,2.292,11.8,57.68,0.698,0.597,medium,8,16,2025-09-26
ORD_0036,medium_value,-23.382807700654244,-46.74963396745511,4.87,1.89,11.4,109.31,0.727,0.746,medium,14,18,2025-08-26
ORD_0037,medium_value,-23.520484904876383,-46.647782595359956,8.42,4.883,16.0,173.85,0.679,0.475,medium,13,17,2025-10-19
ORD_0038,low_value,-23.61634460385217,-46.727007428014794,1.58,0.71,8.7,34.23,0.473,0.545,low,15,18,2025-08-28
ORD_0039,medium_value,-23.57515710542596,-46.55978678869459,2.75,1.779,8.8,93.07,0.6,0.704,medium,15,18,2025-10-07
ORD_0040,high_value,-23.64040585237058,-46.719623503298045,12.54,9.28,34.2,364.73,0.984,0.798,medium,9,13,2025-09-29
ORD_0041,medium_value,-23.565525202401666,-46.637361302132064,7.02,5.302,19.2,128.6,0.602,0.465,medium,14,18,2025-09-07
ORD_0042,high_value,-23.34955084083544,-46.7376659350027,21.37,16.137,34.1,444.19,0.905,0.798,medium,10,14,2025-08-27
ORD_0043,medium_value,-23.466851586203507,-46.74007225770385,5.83,2.467,15.6,165.42,0.498,0.404,medium,11,15,2025-09-06
ORD_0044,low_value,-23.54116687639089,-46.8263974341871,3.94,1.605,11.1,62.3,0.331,0.133,low,8,12,2025-09-25
ORD_0045,low_value,-23.70254625824709,-46.854137218901286,2.02,1.165,7.7,45.9,0.457,0.263,low,8,14,2025-09-01
ORD_0046,medium_value,-23.489125370689358,-46.82198375081077,9.21,7.331,27.3,179.19,0.49,0.436,medium,12,16,2025-09-16
ORD_0047,low_value,-23.622656908234003,-46.61941439675691,4.22,3.281,15.9,72.45,0.115,0.127,low,15,18,2025-10-03
ORD_0048,medium_value,-23.42777021932074,-46.59791461492217,7.78,3.582,13.1,173.8,0.427,0.664,medium,12,18,2025-09-20
ORD_0049,medium_value,-23.57303952821623,-46.75215974024676,7.19,3.989,18.3,110.28,0.63,0.442,medium,9,11,2025-08-24
ORD_0050,medium_value,-23.536863469192685,-46.63271998808839,4.4,1.874,9.0,128.72,0.618,0.537,medium,10,13,2025-09-09
ORD_0051,medium_value,-23.53562193651927,-46.650425630482495,8.45,4.775,13.8,111.48,0.796,0.529,medium,8,12,2025-09-08
ORD_0052,medium_value,-23.555562409902258,-46.52777885350943,6.63,2.047,18.0,134.46,0.637,0.534,medium,13,17,2025-10-13
ORD_0053,high_value,-23.689486474090153,-46.64513416238738,10.73,4.333,22.1,222.93,0.898,0.895,high,13,15,2025-08-27
ORD_0054,medium_value,-23.47615270105719,-46.60168741836402,5.57,2.777,14.4,88.46,0.772,0.485,medium,11,14,2025-09-06
ORD_0055,high_value,-23.686947085361727,-46.7261265838656,18.63,13.397,43.6,365.17,0.971,0.858,high,15,18,2025-09-07
ORD_0056,medium_value,-23.688164023200073,-46.46305152805451,5.23,4.005,18.2,95.66,0.673,0.687,medium,11,14,2025-10-09
ORD_0057,medium_value,-23.556593163514727,-46.53643181083687,10.44,7.448,26.0,191.77,0.486,0.738,medium,14,18,2025-09-27
ORD_0058,medium_value,-23.533607771986123,-46.764989698147794,5.04,3.351,16.5,91.2,0.692,0.605,medium,15,18,2025-10-10
ORD_0059,high_value,-23.608321209821973,-46.60378590206626,20.83,6.395,25.3,468.11,0.765,0.932,high,10,16,2025-09-03
ORD_0060,medium_value,-23.538446896590372,-46.57775072727023,2.49,1.027,6.9,52.23,0.541,0.739,medium,15,18,2025-08-29
ORD_0061,low_value,-23.529057106958756,-46.650498649540815,4.51,2.188,11.2,66.66,0.584,0.192,low,9,11,2025-09-05
ORD_0062,medium_value,-23.568364719767803,-46.692566330065496,7.93,4.994,19.9,174.92,0.531,0.527,medium,8,16,2025-08-31
ORD_0063,low_value,-23.639071379979967,-46.69578346184345,0.5,0.277,6.7,10.78,0.221,0.544,low,10,16,2025-09-07
ORD_0064,high_value,-23.532114718952677,-46.45932809254156,25.02,9.323,33.8,493.32,0.866,0.94,high,8,11,2025-08-31
ORD_0065,low_value,-23.70467679247048,-46.64091272230689,1.02,0.572,7.6,23.66,0.183,0.326,low,10,12,2025-08-26
ORD_0066,low_value,-23.544268338732536,-46.76410592721266,1.75,0.772,6.0,28.3,0.461,0.476,low,9,12,2025-10-09
ORD_0067,low_value,-23.42383387468016,-46.73040620291077,0.54,0.374,6.9,13.35,0.304,0.415,low,8,11,2025-09-27
ORD_0068,low_value,-23.39421442743574,-46.635756420700986,0.6,0.42,4.7,10.15,0.544,0.182,low,11,14,2025-10-11
ORD_0069,low_value,-23.465282581867807,-46.63280894414364,3.66,1.717,9.0,59.47,0.461,0.51,low,10,14,2025-10-17
ORD_0070,high_value,-23.66757437774262,-46.55221812762655,6.12,3.445,20.2,156.5,0.91,0.984,high,14,18,2025-09-18
ORD_0071,high_value,-23.63869607642672,-46.77757147860027,26.43,9.487,42.5,421.74,0.879,0.95,high,13,18,2025-09-20
ORD_0072,medium_value,-23.502051315016605,-46.70831119871548,7.5,2.652,11.2,158.3,0.667,0.727,medium,9,13,2025-09-10
ORD_0073,high_value,-23.705864704336992,-46.61939585228866,9.72,7.611,16.6,192.57,0.809,0.872,high,13,17,2025-09-16
ORD_0074,low_value,-23.560514939044932,-46.68032131785317,2.7,0.988,8.5,65.94,0.361,0.438,low,9,17,2025-09-08
ORD_0075,high_value,-23.78594829226966,-46.63147475391439,20.1,13.151,27.1,369.05,0.938,0.74,medium,14,18,2025-09-24
ORD_0076,medium_value,-23.651687597852618,-46.64375198434438,6.79,2.734,15.3,150.94,0.573,0.658,medium,15,18,2025-09-18
ORD_0077,high_value,-23.42458186784868,-46.45279106495421,11.24,6.428,14.8,248.31,0.973,0.73,medium,11,13,2025-09-27
ORD_0078,medium_value,-23.762533874123072,-46.50846236358018,4.66,1.946,14.1,81.59,0.637,0.693,medium,9,15,2025-10-15
ORD_0079,high_value,-23.594126303218,-46.52848832407308,16.81,9.369,27.2,364.27,0.746,0.877,high,14,18,2025-10-06
ORD_0080,medium_value,-23.6345498186749,-46.682802006298346,6.87,3.552,14.4,147.14,0.772,0.723,medium,8,14,2025-09-28
ORD_0081,low_value,-23.304144306786775,-46.64419064951383,0.97,0.303,7.2,29.24,0.458,0.475,low,8,11,2025-08-24
ORD_0082,low_value,-23.610522573011057,-46.56547262996102,1.59,0.812,4.9,27.92,0.116,0.585,low,9,17,2025-09-05
ORD_0083,high_value,-23.39895861846518,-46.5186512841267,16.24,5.345,18.4,258.86,0.796,0.979,high,14,18,2025-10-02
ORD_0084,medium_value,-23.51792642869711,-46.799543896362316,3.66,2.617,9.3,78.07,0.413,0.664,medium,12,16,2025-10-13
ORD_0085,medium_value,-23.471105346652873,-46.66293072222227,5.12,2.035,13.7,74.88,0.46,0.556,medium,13,17,2025-09-27
ORD_0086,high_value,-23.43507851077085,-46.736716321216136,7.66,3.833,18.3,238.48,0.928,0.907,high,15,17,2025-08-24
ORD_0087,high_value,-23.512003358395237,-46.55344333268894,18.8,13.823,52.1,381.19,0.884,0.808,high,14,18,2025-10-07
ORD_0088,medium_value,-23.52978396791876,-46.541424623996335,6.5,3.723,15.8,187.63,0.619,0.456,medium,14,18,2025-10-11
ORD_0089,medium_value,-23.53075769523074,-46.85582959027768,8.4,6.402,20.4,151.36,0.784,0.668,medium,15,18,2025-09-26
ORD_0090,high_value,-23.604838874209566,-46.61225952860287,19.38,6.719,35.0,397.17,0.71,0.912,high,11,14,2025-10-07
ORD_0091,high_value,-23.39129751014239,-46.692073796931986,15.28,11.644,40.5,429.57,0.984,0.933,high,10,16,2025-09-02
ORD_0092,medium_value,-23.74173719909472,-46.672652952998405,6.8,4.587,15.4,123.55,0.709,0.616,medium,12,18,2025-09-23
ORD_0093,low_value,-23.441590099715256,-46.8016705625366,4.51,1.553,12.1,75.6,0.184,0.531,low,13,15,2025-09-18
ORD_0094,medium_value,-23.651157856632686,-46.706071145396805,8.5,2.607,13.7,132.8,0.543,0.619,medium,14,17,2025-09-08
ORD_0095,low_value,-23.40268787739005,-46.78153967869957,3.09,1.625,11.5,60.29,0.296,0.423,low,12,18,2025-10-21
ORD_0096,low_value,-23.697307001258864,-46.64825956374067,2.3,0.76,7.7,47.56,0.579,0.596,low,15,18,2025-09-18
ORD_0097,low_value,-23.41588802481017,-46.7125415411833,0.55,0.343,6.3,17.29,0.495,0.421,low,9,15,2025-10-10
ORD_0098,low_value,-23.673104739608963,-46.66196180384982,4.32,1.37,7.3,67.1,0.302,0.544,low,12,18,2025-10-20
ORD_0099,medium_value,-23.4347755452269,-46.65044956003882,10.29,5.982,17.0,166.35,0.515,0.465,medium,9,12,2025-09-20
ORD_0100,medium_value,-23.428283045568218,-46.69116518858088,2.71,1.03,9.0,68.23,0.447,0.406,medium,14,18,2025-09-16
ORD_0101,high_value,-23.70974829722782,-46.50135782121851,15.81,6.163,24.5,295.48,0.95,0.899,high,8,10,2025-09-11
ORD_0102,medium_value,-23.769940388737616,-46.63547334929284,7.09,3.606,13.9,137.05,0.49,0.649,medium,14,18,2025-08-29
ORD_0103,medium_value,-23.54201345416389,-46.56473806257815,6.63,4.386,17.4,140.03,0.791,0.762,medium,12,16,2025-09-01
ORD_0104,medium_value,-23.663791076619297,-46.708501876666695,7.97,5.713,23.9,130.32,0.768,0.541,medium,11,15,2025-09-16
ORD_0105,high_value,-23.47721324175443,-46.68463291866775,17.22,11.667,25.4,264.48,0.846,0.97,high,14,18,2025-09-21
ORD_0106,medium_value,-23.601886642153048,-46.5498133351104,3.35,1.483,9.4,58.54,0.421,0.571,medium,9,15,2025-10-01
ORD_0107,low_value,-23.710821684661408,-46.81478838294814,2.71,1.89,6.8,59.18,0.571,0.405,low,14,18,2025-09-16
ORD_0108,medium_value,-23.554546811140746,-46.68246140027279,9.11,4.299,18.4,119.41,0.618,0.667,medium,12,18,2025-10-07
ORD_0109,medium_value,-23.679834551633483,-46.771904854058555,9.87,7.413,26.3,177.83,0.622,0.531,medium,13,17,2025-08-25
ORD_0110,medium_value,-23.586089974061434,-46.516335497787956,1.65,0.701,8.0,55.11,0.728,0.638,medium,11,15,2025-08-28
ORD_0111,medium_value,-23.562157134645332,-46.611883105886825,2.92,1.077,8.9,72.48,0.436,0.52,medium,14,16,2025-09-07
ORD_0112,medium_value,-23.505583344476527,-46.71485007633097,8.26,5.011,19.6,183.89,0.653,0.49,medium,12,16,2025-08-29
ORD_0113,medium_value,-23.552855540022076,-46.66075779997529,3.26,1.299,6.6,69.78,0.666,0.619,medium,9,13,2025-10-08
ORD_0114,medium_value,-23.52428380395593,-46.64534167140199,11.16,5.008,23.9,198.15,0.589,0.423,medium,10,18,2025-10-13
ORD_0115,low_value,-23.64935290078659,-46.40920734437942,2.24,0.932,10.9,34.93,0.574,0.123,low,8,14,2025-10-11
ORD_0116,medium_value,-23.507733028024465,-46.68981209273825,3.54,2.698,9.5,60.25,0.731,0.536,medium,11,15,2025-08-23
ORD_0117,medium_value,-23.522162199759823,-46.658685907714506,5.09,3.742,11.6,110.53,0.559,0.545,medium,8,11,2025-10-14
ORD_0118,medium_value,-23.518824588238264,-46.52104860180076,7.79,4.88,20.3,158.67,0.474,0.408,medium,14,17,2025-09-19
ORD_0119,low_value,-23.49713047519938,-46.48400473772462,2.77,1.17,11.0,63.84,0.314,0.465,low,8,12,2025-08-26
ORD_0120,medium_value,-23.587147324792006,-46.680369704180016,5.36,2.339,11.9,136.66,0.426,0.476,medium,10,14,2025-09-23
ORD_0121,medium_value,-23.58381543320773,-46.76762266479483,6.33,3.424,17.9,163.32,0.642,0.418,medium,11,15,2025-09-29
ORD_0122,low_value,-23.426112495942874,-46.79028839275436,2.25,0.816,6.4,31.82,0.595,0.467,low,14,18,2025-09-21
ORD_0123,medium_value,-23.566042243252774,-46.74887075749169,9.66,3.827,21.5,182.18,0.568,0.632,medium,14,18,2025-09-18
ORD_0124,medium_value,-23.566128574888744,-46.621925605771345,9.12,5.385,17.9,173.41,0.67,0.638,medium,11,15,2025-08-26
ORD_0125,low_value,-23.42336665604149,-46.62175465343771,1.28,0.788,7.1,35.55,0.15,0.59,low,9,17,2025-09-08
ORD_0126,medium_value,-23.56879574255102,-46.53734113116205,5.83,3.807,22.0,99.84,0.76,0.567,medium,15,17,2025-08-30
ORD_0127,low_value,-23.50826752025501,-46.746163451437916,0.5,0.376,5.2,11.75,0.3,0.535,low,11,15,2025-09-09
ORD_0128,medium_value,-23.702133228805945,-46.70719763318645,11.0,7.966,19.5,189.71,0.673,0.561,medium,11,14,2025-10-14
ORD_0129,low_value,-23.375386440258556,-46.69104021922294,0.93,0.663,8.3,22.79,0.405,0.402,low,11,14,2025-09-21
ORD_0130,high_value,-23.452141142605182,-46.62263368966749,21.82,14.43,45.7,386.46,0.775,0.907,high,8,12,2025-08-24
ORD_0131,low_value,-23.34694685432804,-46.43409055925025,0.78,0.499,5.9,13.73,0.299,0.27,low,13,17,2025-09-29
ORD_0132,high_value,-23.55218703737081,-46.56777885337211,12.29,4.756,13.8,325.97,0.886,0.813,high,14,17,2025-10-09
ORD_0133,low_value,-23.50671771214897,-46.54977404328005,0.58,0.391,5.2,11.25,0.208,0.155,low,15,18,2025-10-04
ORD_0134,low_value,-23.523103624374713,-46.670131832315626,2.18,1.251,6.3,34.51,0.212,0.472,low,14,18,2025-09-10
ORD_0135,high_value,-23.55881717719346,-46.495566497047164,17.48,10.037,33.9,307.72,0.827,0.986,high,15,18,2025-08-23
ORD_0136,low_value,-23.391970060679867,-46.65526173670807,2.28,1.044,4.7,46.72,0.211,0.268,low,8,11,2025-09-16
ORD_0137,low_value,-23.41809122163879,-46.66248788540346,1.15,0.781,7.1,28.44,0.102,0.238,low,14,18,2025-09-05
ORD_0138,medium_value,-23.726520505614705,-46.56822589629335,6.17,4.135,16.0,124.33,0.601,0.604,medium,14,18,2025-10-12
ORD_0139,high_value,-23.483398219508224,-46.5265002221941,11.82,8.703,22.7,315.48,0.97,0.939,high,9,12,2025-08-29
ORD_0140,low_value,-23.522583582975024,-46.649306051860826,0.98,0.727,6.6,19.05,0.259,0.418,low,10,13,2025-10-18
ORD_0141,high_value,-23.469835688327723,-46.65614319210663,10.13,3.228,20.0,233.65,0.762,0.975,high,14,17,2025-09-30
ORD_0142,low_value,-23.413448316435534,-46.4420656068203,1.12,0.66,4.6,42.09,0.239,0.241,low,15,18,2025-09-01
ORD_0143,low_value,-23.651343302053114,-46.786274895500405,1.33,1.055,7.1,52.96,0.412,0.511,low,15,18,2025-10-17
ORD_0144,low_value,-23.557285672083808,-46.66086458535087,1.88,0.923,6.5,46.85,0.439,0.35,low,15,18,2025-09-09
ORD_0145,low_value,-23.496756740861198,-46.620327695131664,4.61,3.687,13.4,79.91,0.286,0.415,low,8,11,2025-10-04
ORD_0146,high_value,-23.44116409671027,-46.7419586508736,17.13,6.616,17.2,482.89,0.723,0.735,medium,10,14,2025-09-16
ORD_0147,medium_value,-23.59965444138069,-46.696004861469774,6.2,2.043,13.8,125.38,0.508,0.692,medium,14,18,2025-09-20
ORD_0148,low_value,-23.60494963544197,-46.716315555497765,3.48,2.736,12.0,70.53,0.543,0.376,low,10,14,2025-09-20
ORD_0149,high_value,-23.644568688497053,-46.67461228857693,22.57,8.098,34.4,372.61,0.985,0.907,high,15,18,2025-09-19
ORD_0150,medium_value,-23.639799401518058,-46.596132362314904,7.03,4.783,15.7,127.79,0.707,0.424,medium,11,15,2025-08-31
ORD_0151,medium_value,-23.48939290948894,-46.70994664310198,2.81,1.273,10.2,69.06,0.442,0.59,medium,12,18,2025-09-03
ORD_0152,medium_value,-23.557883075237953,-46.556657328799126,8.83,2.809,16.9,165.29,0.637,0.572,medium,12,15,2025-09-27
ORD_0153,medium_value,-23.41240734361987,-46.62978577753791,12.21,4.345,20.2,175.87,0.764,0.626,medium,10,14,2025-10-06
ORD_0154,medium_value,-23.424275466717788,-46.53425874412504,11.83,9.257,29.8,183.95,0.782,0.46,medium,10,18,2025-08-31
ORD_0155,medium_value,-23.53750017741984,-46.73960362728537,9.89,6.502,14.8,178.69,0.671,0.691,medium,8,10,2025-08-27
ORD_0156,low_value,-23.467973417031505,-46.50965126185034,1.42,0.944,9.0,25.99,0.312,0.394,low,8,14,2025-10-08
ORD_0157,medium_value,-23.66093583790396,-46.64027472673807,3.99,3.175,9.5,109.26,0.471,0.798,medium,14,18,2025-10-13
ORD_0158,high_value,-23.451232694563103,-46.527575940021286,22.48,13.023,55.3,488.43,0.79,0.945,high,12,16,2025-09-12
ORD_0159,medium_value,-23.63024381170701,-46.525847020977004,12.07,8.559,26.4,188.32,0.663,0.516,medium,9,12,2025-10-09
ORD_0160,medium_value,-23.573839161460846,-46.60402901739505,9.4,5.799,22.9,168.04,0.585,0.737,medium,12,15,2025-09-08
ORD_0161,high_value,-23.457607493935814,-46.61080491555608,17.04,13.405,48.1,384.73,0.995,0.786,medium,15,18,2025-08-23
ORD_0162,low_value,-23.540157955340593,-46.618963531162166,1.67,1.023,9.2,38.51,0.382,0.514,low,9,15,2025-10-05
ORD_0163,low_value,-23.590004685216957,-46.60239531649759,1.01,0.8,9.1,15.69,0.11,0.299,low,12,16,2025-10-12
ORD_0164,high_value,-23.61182677592869,-46.679269814300106,18.26,13.232,40.0,460.26,0.782,0.988,high,11,14,2025-09-26
ORD_0165,medium_value,-23.386227409260204,-46.72926633265554,1.68,0.753,7.3,58.35,0.45,0.427,medium,11,15,2025-10-01
ORD_0166,low_value,-23.443235558284275,-46.50707880271071,2.58,2.059,10.2,46.87,0.148,0.465,low,14,18,2025-10-13
ORD_0167,high_value,-23.533502546025073,-46.563117695945664,12.46,8.868,26.2,221.1,0.976,0.769,medium,8,11,2025-09-18
ORD_0168,high_value,-23.585284797101657,-46.4667316090555,14.44,9.7,47.6,263.24,0.957,0.945,high,15,18,2025-09-21
ORD_0169,medium_value,-23.497307467863113,-46.69052873725943,4.62,1.683,10.6,112.41,0.437,0.496,medium,12,18,2025-09-11
ORD_0170,medium_value,-23.634525207079527,-46.67317770878311,3.84,1.784,11.0,73.46,0.674,0.435,medium,12,16,2025-10-07
ORD_0171,low_value,-23.648293883555265,-46.69454228909009,2.84,0.985,7.0,48.37,0.327,0.26,low,14,18,2025-09-14
ORD_0172,low_value,-23.746170683217798,-46.769978173127804,0.67,0.251,7.1,11.98,0.448,0.152,low,10,13,2025-10-17
ORD_0173,medium_value,-23.709056204586595,-46.57019834280115,4.1,1.881,10.5,76.28,0.71,0.662,medium,14,18,2025-10-14
ORD_0174,low_value,-23.404730216468675,-46.62037675679729,0.81,0.595,7.4,18.07,0.564,0.232,low,8,10,2025-10-20
ORD_0175,low_value,-23.40713663911821,-46.81926630405498,3.01,2.033,10.4,69.84,0.587,0.383,low,10,14,2025-09-06
ORD_0176,medium_value,-23.557386124420628,-46.6482709822024,7.39,4.59,15.8,167.94,0.701,0.583,medium,10,14,2025-09-14
ORD_0177,low_value,-23.571629135779325,-46.71549203325738,3.55,1.65,8.5,78.83,0.504,0.425,low,9,15,2025-10-13
ORD_0178,medium_value,-23.711299979151697,-46.79542039095709,3.03,1.223,9.6,83.95,0.407,0.45,medium,10,18,2025-09-16
ORD_0179,medium_value,-23.59087034339979,-46.55038509649405,7.15,2.822,13.5,119.57,0.566,0.619,medium,8,12,2025-09-11
ORD_0180,high_value,-23.416921833544983,-46.41908765301318,13.29,5.664,19.6,271.32,0.76,0.924,high,13,16,2025-09-20
ORD_0181,high_value,-23.51544985031779,-46.528260046412555,11.57,7.283,28.2,215.28,0.753,0.822,high,11,13,2025-10-16
ORD_0182,high_value,-23.37042539307639,-46.69952351004005,13.75,10.685,32.8,251.25,0.955,0.932,high,11,14,2025-09-14
ORD_0183,low_value,-23.409638050655406,-46.64587462974958,2.85,1.704,5.8,65.23,0.48,0.587,low,15,18,2025-10-21
ORD_0184,medium_value,-23.37799225902836,-46.45953672998911,2.88,1.197,10.7,81.04,0.718,0.752,medium,13,17,2025-10-09
ORD_0185,low_value,-23.63551342027176,-46.61020326713048,3.55,1.375,10.0,69.66,0.401,0.337,low,12,15,2025-10-01
ORD_0186,low_value,-23.478091232505346,-46.54803944106194,2.57,1.189,9.7,58.31,0.312,0.36,low,14,18,2025-09-01
ORD_0187,high_value,-23.403855760881143,-46.77422157980245,21.0,15.341,31.6,341.53,0.769,0.926,high,8,11,2025-10-19
ORD_0188,high_value,-23.572108342512617,-46.69352053597176,17.15,8.505,22.8,365.17,0.951,0.854,high,8,11,2025-08-30
ORD_0189,medium_value,-23.538065641511885,-46.53621130879866,6.72,4.079,20.0,112.01,0.429,0.604,medium,14,18,2025-10-19
ORD_0190,high_value,-23.469719354145468,-46.6371990936386,26.92,21.204,48.4,489.32,0.851,0.962,high,14,18,2025-09-11
ORD_0191,medium_value,-23.673201407728854,-46.701290589674684,5.9,3.217,20.3,142.53,0.604,0.673,medium,8,12,2025-08-29
ORD_0192,medium_value,-23.563270946653805,-46.76031156562458,2.83,1.511,5.2,65.04,0.534,0.503,medium,8,11,2025-10-12
ORD_0193,medium_value,-23.564274109905757,-46.78067589013434,9.19,7.313,27.7,195.29,0.709,0.441,medium,11,13,2025-08-28
ORD_0194,medium_value,-23.635207110622872,-46.631127441824574,8.06,3.273,19.3,142.51,0.404,0.55,medium,13,18,2025-10-16
ORD_0195,medium_value,-23.489805739161337,-46.81749190789315,6.43,4.386,17.9,130.03,0.729,0.44,medium,11,15,2025-08-23
ORD_0196,high_value,-23.50380577280681,-46.686421921299974,20.09,15.679,43.4,376.93,0.871,0.712,medium,13,17,2025-08-31
ORD_0197,low_value,-23.38542516556948,-46.53571179166922,1.24,0.847,6.4,37.24,0.344,0.482,low,8,12,2025-10-14
ORD_0198,medium_value,-23.573209360644004,-46.541352902547295,7.13,3.677,22.0,143.71,0.756,0.782,medium,12,18,2025-10-20
ORD_0199,medium_value,-23.430142194546654,-46.78222842644402,10.42,4.025,18.3,186.56,0.51,0.688,medium,15,18,2025-08-27
ORD_0200,low_value,-23.58535479714594,-46.533655483614,1.73,1.306,4.6,42.34,0.106,0.547,low,15,18,2025-10-08
