delivery_id,customer_name,address,latitude,longitude,package_weight,package_volume,priority,time_window_start,time_window_end,service_time,delivery_date
DEL_026,Gardner LLC,2045 Rachel Fords,-23.578237643054653,-46.63577366594842,12.392655229187023,1.1245444696500337,high,12,18,12,2025-09-22
DEL_027,"Wright, Garcia and Deleon",232 Nicole Burg Apt. 563,-23.533073489595008,-46.71214688167027,5.165042901866004,0.28416854703476435,medium,10,18,18,2025-09-22
DEL_028,Moore-Haynes,73375 Hoover Well Apt. 303,-23.621848295845844,-46.61830211273046,16.997431408685888,1.9699139015953357,low,8,18,28,2025-09-22
DEL_029,Murphy-Lin,8685 Darrell Green Apt. 940,-23.59635148585284,-46.56034496697188,6.592080181046998,0.4613969260375419,medium,9,18,10,2025-09-22
DEL_030,Carlson LLC,9816 Jonathan Station Suite 088,-23.554956407131023,-46.608720068154746,23.120007182262313,0.9419484156015682,high,8,15,25,2025-09-22
DEL_031,"Ball, Harmon and Lambert",1595 Jennifer Hills Suite 656,-23.46689809112557,-46.63367691205585,24.240408303476407,1.8600972677154424,low,9,18,20,2025-09-22
DEL_032,"Phillips, Martinez and Fisher",299 Sullivan Village Apt. 443,-23.636372606391713,-46.6231956192441,22.609850205008442,0.4128105306629011,low,11,17,30,2025-09-22
DEL_033,Floyd-Lawson,7738 Leon Underpass Apt. 148,-23.544254856990626,-46.661132883697896,17.566491838203984,1.4879601030893854,high,13,18,9,2025-09-22
DEL_034,"Schultz, Rogers and Cardenas",433 Andrew Gardens,-23.542472907830483,-46.61306382933938,1.9328406541788354,1.4979006396991825,low,13,17,6,2025-09-22
DEL_035,Carr-Mack,9367 Sanchez Shoal Apt. 163,-23.505167912222596,-46.61852587673629,23.024984705385844,1.1091396570140286,low,12,15,10,2025-09-22
DEL_036,Brock Ltd,83172 Contreras Points Suite 798,-23.54432409902012,-46.630463622628334,21.61457044826817,0.8671735475047271,high,9,15,24,2025-09-22
DEL_037,Rivas-Kelley,774 Mary Harbor,-23.493293078216116,-46.600915391407355,14.348059634180192,0.7011027073557815,medium,9,17,12,2025-09-22
DEL_038,"Washington, Allen and Gonzales",45581 Edward Lights Apt. 316,-23.551781973225903,-46.62027510875384,16.314769326522413,0.9687266878838587,low,8,18,24,2025-09-22
DEL_039,Rivera-Owens,66909 Woods Knoll,-23.45089505198108,-46.63426729749498,2.2948876669410083,0.5049931933073768,medium,9,17,7,2025-09-22
DEL_040,Molina-Castaneda,893 Robinson Mews Suite 065,-23.52367890395809,-46.6587191168263,4.364797392752183,1.6841154138156333,high,10,15,26,2025-09-22
DEL_041,"Shelton, Powell and Martin",98069 Christopher Meadow Apt. 720,-23.538248039481736,-46.66061603624516,16.753023516668893,1.8839670074614974,low,10,15,8,2025-09-22
DEL_042,Gray-Lewis,6464 Thomas Summit Apt. 531,-23.551240388337995,-46.6488271488575,7.40302865071841,0.5001963441331918,medium,9,17,21,2025-09-22
DEL_043,"Williams, Johnson and Wright",232 Caldwell Port,-23.64079871914209,-46.626782106007596,21.229540975723957,0.2753670886541935,medium,14,17,6,2025-09-22
DEL_044,Marshall LLC,99124 Beth Inlet Suite 631,-23.47340721296871,-46.631582225610764,16.1092777438838,0.5977149986252616,high,11,18,22,2025-09-22
DEL_045,"Vaughn, Burton and Garcia",919 Michael Meadow Suite 185,-23.54298949730755,-46.63284312573428,22.1361066358535,1.817464285963797,high,8,17,23,2025-09-22
DEL_046,Atkinson Group,5726 Jessica Run,-23.59115929588912,-46.64722795187705,1.5248070251370172,0.7928378791217864,low,10,16,26,2025-09-22
DEL_047,Gilbert-Gillespie,6945 Mariah Corners Suite 737,-23.5504696272468,-46.62302068270458,19.612847925850346,1.779855932756917,medium,12,16,12,2025-09-22
DEL_048,"Bishop, Gray and Johnson",73545 Beard Squares Suite 808,-23.48612395163552,-46.70668601082142,20.363907138539723,1.7746907888603163,low,9,17,30,2025-09-22
DEL_049,Miller Ltd,8377 Mcguire Course Suite 363,-23.47773744513906,-46.66708494918693,21.669568695194346,1.640423701491339,medium,9,15,17,2025-09-22
DEL_050,Beck-Wood,8557 Parker Fort Apt. 351,-23.490878618639208,-46.69508280179029,5.949626079868779,1.651514550634165,medium,10,17,30,2025-09-22
